key,en_value,usage_count,de_value,fr_value,nl_value
advanceSearch.labels.DRAFT,Draft,0,Entwurf,Brouillon,Concept
advanceSearch.labels.ENQUIRY_RECOMMENDED,Enquiry recommended,0,Untersuchung empfohlen,Recherche recommandée,Nasporing aanbevolen
advanceSearch.labels.FRONTIER_CROSSING_REFUSED,Frontier-crossing refused,0,Durchgang nicht gewährt,Mouvement retourné,Doorgang zending geweigerd
advanceSearch.labels.GOODS_RELEASED,Goods released,0,Goods released,Goods released,Goods released
advanceSearch.labels.GUARANTEE_REGISTERED,Guarantee registered,0,Garantie registriert,Garantie enregistrée,Zekerheid aangeschreven
advanceSearch.labels.GUARANTEE_UNDER_AMENDMENT,Guarantee under amendment,0,Sicherheitsleistung in Änderungt,Garantie en cours de modification,Zekerheidstelling onder wijziging
advanceSearch.labels.GUARANTEE_UNDER_REGISTRATION,Guarantee under registration,0,Garantie under registrierung,Garantie en cours d'enregistrement,Zekerheid aanschrijven
advanceSearch.labels.IDLE,Idle,0,Unbenutzt,Inactif,Ongegrond
advanceSearch.labels.INCIDENT_REGISTERED,Incident Registered,0,Vorfall registriert,Incident enregistré,Incident geregistreerd
advanceSearch.labels.INVALIDATED,Invalidated,0,Für ungültig erklärt,Invalidé,Geïnvalideerd
advanceSearch.labels.IrregularityUnderInvestigation,Irregularity under investigation,0,Unregelmäßigkeit wird geprüft,Irrégularité sous investigation,Onregelmatigheid in onderzoek
advanceSearch.labels.MOVEMENT_RELEASED,Movement released,0,Beförderung überlassen,Mouvement libéré,Vrijgegeven
advanceSearch.labels.MOVEMENT_STOPPED,Movement stopped,0,Versandvorgang gestoppt,Mouvement arrêté,Zending gestopt
advanceSearch.labels.MOVEMENT_UNDER_RESOLUTION,Movement under resolution,0,Beförderung wird untersucht,Sous enquête,In onderzoek
advanceSearch.labels.MOVEMENT_WRITTEN_OFF,Movement written off,0,Beförderung abgeschrieben,Mouvement apuré,Aangezuiverd
advanceSearch.labels.NCF_REGISTERED,NCF registered,0,Durchgang gewährt,Enregistré au NCF,Doorgang geregistreerd
advanceSearch.labels.NONE,None,0,Keiner,Aucun,Geen
advanceSearch.labels.NOT_RELEASED_FOR_TRANSIT,Not released for transit,0,Nicht in das Versandverfahren übergeführt,Non libéré pour le transit,Niet vrijgegeven voor transit
advanceSearch.labels.NoRisk,No risk,0,Kein Risiko,Pas de risque,Geen risico
advanceSearch.labels.PENDING_RESPONSE_FROM_AES,Pending response from AES,0,Antwort von AES steht aus,En attente d'une réponse d'AES,In afwachting van een reactie van AES
advanceSearch.labels.PRELODGED,Pre-lodged,0,Vorab eingereicht,Dépôt préalable,Vooraf ingediend
advanceSearch.labels.PreArrivalRiskAnalysisCancelled,Pre-arrival risk analysis cancelled,0,Vor dem Wareneingang durchzuführende Risikoanalyse annulliert,Analyse de risque précédent l'arrivée annulée,Pre-arrival risicoanalyse geannuleerd
advanceSearch.labels.PreArrivalRiskAnalysisCompleted,Pre-arrival risk analysis completed,0,Vor dem Wareneingang durchzuführende Risikoanalyse beendet,Analyse de risque précédent l'arrivée complétée,Pre-arrival risicoanalyse voltooid
advanceSearch.labels.RECOVERY_COMPLETED,Recovery completed,0,Beitreibung abgeschlossen,Recouvrement terminée,Herstel voltooid
advanceSearch.labels.RECOVERY_RECOMMENDED,Recovery recommended,0,Beitreibung empfohlen,Recouvrement recommandé,Invordering aanbevolen
advanceSearch.labels.RECOVERY_REQUESTED,Recovery requested,0,Beitreibung beantragt,Recouvrement demandée,Herstel aangevraagd
advanceSearch.labels.RECOVERY_REQUEST_REJECTED,Recovery request rejected,0,Beitreibung abgelehnt,Demande de recouvrement rejetée,Herstelverzoek afgewezen
advanceSearch.labels.REJECTED,Rejected,0,Abgelehnt,Rejetée,Afgekeurd
advanceSearch.labels.SUBMITTED,Submitted,0,Eingereicht,Soumise,Ingediend
advanceSearch.labels.TEMPLATE,Template,0,Template,Template,Template
advanceSearch.labels.UNDER_AMENDMENT_REQUEST_DUETO_EFTB,Under amendment request due to EFBT,0,Änderungsantrag aufgrund von EFBT läuft,Sous demande de modification de l'EFBT,Onder wijziging verzoek ten gevolgde van EFBT
advanceSearch.labels.UNDER_CONTROL,Under control,0,Wird gerade kontrolliert,Sous contrôle,Onder controle
advanceSearch.labels.UNDER_ENQUIRY_PROCEDURE,Under enquiry procedure,0,Untersuchungsverfahren läuft,Sous procédure d'enquête,Onder nasporing procedure
advanceSearch.labels.UNDER_RECOVERY_DECISION,Under recovery decision,0,Under recovery decision,Under recovery decision,Under recovery decision
advanceSearch.labels.UNDER_RECOVERY_PROCEDURE,Under recovery procedure,0,Beitreibungsverfahren läuft,Recouvrement,Invordering
advanceSearch.labels.UNDER_RELEASE_REQUEST,Under release request,0,Antrag auf Überlassung läuft,Sous demande de libération,Aanvraag voor vrijgave
advanceSearch.labels.UNLOADING,Unloading,0,Unloading,Unloading,Unloading
advanceSearch.labels.UNLOADING_REMARKS,Unloading remarks,0,Unloading remarks,Unloading remarks,Unloading remarks
advanceSearch.labels.WAITING_FOR_DISCREPANCIES_RESOLUTION,Waiting for discrepancies resolution,0,Waiting for discrepancies resolution,Waiting for discrepancies resolution,Waiting for discrepancies resolution
advanceSearch.labels.addCusOff,Addressed customs office,0,Empfangende Zollstelle,Bureau de douane requis,Vermeld douanekantoor
advanceSearch.labels.added,Added,2,Hinzugefügt,Ajouté,Toegevoegd
advanceSearch.labels.additionalSupplyChainActor,Additional supply chain actor,0,Zusätzlicher Wirtschaftsbeteiligter in der Lieferkette,Autre acteur de la chaîne d'approvisionnement,Extra actor in de toeleveringsketen
advanceSearch.labels.advancedSearch,ADVANCED SEARCH,1,ERWEITERTE SUCHE,RECHERCHE,GEAVANCEERD ZOEKEN
advanceSearch.labels.arrivalTransMeansIdn,Arrival transport means identification,0,Identifikation des Beförderungsmittels bei der Ankunft,Identification du moyen de transport à l'arrivée,Identificatie van het vervoermiddel bij aankomst
advanceSearch.labels.at,at,21,um,A,om
advanceSearch.labels.authorizationNumber,Authorisation number,1,Bewilligungsnummer,Numéro d'autorisation,Vergunningnummer
advanceSearch.labels.both,Both,3,Beide,Les deux,Beide
advanceSearch.labels.carrier,Carrier,0,Beförderer,Transporteur,Vervoerder
advanceSearch.labels.clearAll,Clear all,2,Alles löschen,Effacer tout,Alles wissen
advanceSearch.labels.conOrRec,Container or receptacle,0,Container oder Postbehälter,Conteneur ou récipient,Container of recipiënt
advanceSearch.labels.consignee,Consignee,0,Empfänger,Destinataire,Geadresseerde
advanceSearch.labels.consignmentItem,Consignment Items,1,Konsignationsartikel,Articles en consignation,Artikelen
advanceSearch.labels.consignor,Consignor,0,Versender,Expéditeur,Afzender
advanceSearch.labels.countrydest,Country of destination,1,Bestimmungsland,Pays de destination,Land van bestemming
advanceSearch.labels.cusOffOfPres,Customs office of presentation,0,Zollstelle der Gestellung,Bureau de douane de présentation,Douanekantoor van aanbrengen
advanceSearch.labels.cusOffice,Customs office,0,Zollstelle,Bureau de douane,Douanekantoor
advanceSearch.labels.customsdest,Customs office of destination,3,Bestimmungszollstelle,Bureau de douane de destination,Douanekantoor van bestemming
advanceSearch.labels.decInfo,Declaration information,0,Informationen zur Anmeldung,Informations sur la déclaration,Informatie over de aangifte
advanceSearch.labels.decStatus,Declaration status,2,Status der Anmeldung,Statut de la déclaration,Aangiftestatus
advanceSearch.labels.declGoodsItemNumber,Decl. goods item number,2,Warenartikelnummer der Anmeldung,Numéro d'article de la décl.,Aangifte goederenartikelnummer
advanceSearch.labels.declarant,Declarant,0,Anmelder,Declarant,Aangever
advanceSearch.labels.deleted,Deleted,2,Gelöscht,Supprimé,Verwijderd
advanceSearch.labels.destination,Destination,1,Bestimmung,Destination,Bestemming
advanceSearch.labels.discrepancy,Discrepancy,6,Abweichung,Écart,Discrepantie
advanceSearch.labels.discrepancyStatus,Status,2,Status,Statut,Status
advanceSearch.labels.entryInfo,Entry information,0,Informationen zum Eingang,Information sur l'entrée,Informatie over de binnenkomst
advanceSearch.labels.eori,EORI,1,EORI,EORI,EORI
advanceSearch.labels.errors,Errors,2,Fehler,Erreurs,Fouten
advanceSearch.labels.export,Export,1,Ausfuhr,Export,Export
advanceSearch.labels.filter,Filter,2,Filter,Filtre,Filter
advanceSearch.labels.filters,Filters,0,Filter,Filtres,Filters
advanceSearch.labels.goodsItemNumber,Declaration goods item number,2,Warenartikelnummer der Anmeldung,Numéro d'article de la déclaration de marchandises,Aangifte goederenartikelnummer
advanceSearch.labels.grossMass,Gross Mass,2,Bruttomasse,Masse brute,Brutomassa
advanceSearch.labels.holderOfTransitProcedure,Holder of transit procedure,0,Inhaber des Versandverfahrens,Titulaire du régime du transit,Houder van de regeling douanevervoer
advanceSearch.labels.houseConsignment,House Consignment,1,Einzelsendung,House Envoi,Huiszending
advanceSearch.labels.identifictionNo,Identification number,0,Identifikationsnummer,Numéro d'identification,Identificatienummer
advanceSearch.labels.incidentDateRange,Incident notification date,3,Zeitraum des Vorfalls,Date de notification de l'incident,Datum melding incident
advanceSearch.labels.location,Location,1,Ort,Localisation des marchandises,Plaats
advanceSearch.labels.lrn,LRN,0,LRN,LRN,LRN
advanceSearch.labels.mass,Mass,7,Masse,Masse,Massa
advanceSearch.labels.massOf,Mass of,1,Masse von,Masse de,Massa van
advanceSearch.labels.max,Max,10,Max,Max,Max
advanceSearch.labels.maxMass,Max Mass,0,Maximale Masse,Masse maximale,Max. Massa
advanceSearch.labels.maxPackages,Max Packages,0,Maximale Pakete,Colis maxi,Max. Pakketten
advanceSearch.labels.maximumCharactersHint,Maximum {{maxChars}} characters,0,Maximum {{maxChars}} Zeichen,Maximum {{maxChars}} caractères,Maximum {{maxChars}} karakters
advanceSearch.labels.maximumDateRangeError,Please select a date range of maximum 60 days.,3,Bitte wählen Sie einen Zeitraum von maximal 60 Tagen ein.,Veuillez sélectionner une fourchette de date de 60 jours maximum.,Vult u alstublieft een datumbereik van maximum 60 dagen in.
advanceSearch.labels.maximumDateRangeHint,Maximum date range of 2 months,3,Maximaler Zeitraum von 2 Monaten,Période maximale de deux mois,Maximum datumbereik van 2 maanden
advanceSearch.labels.min,Min,4,Min,Min,Min
advanceSearch.labels.minMass,Min Mass,0,Mindestmasse,Masse minimale,Min. Massa
advanceSearch.labels.minPackages,Min Packages,0,Mindestpakete,Colis mini,Min. Pakketten
advanceSearch.labels.name,Name,1,Name,Nom,Naam
advanceSearch.labels.netMass,Net Mass,2,Nettomasse,Masse nette,Nettomassa
advanceSearch.labels.noData,No data. Please refine your search.,4,Keine Daten. Bitte verfeinern Sie Ihre Suche.,Pas de données. Veuillez affiner votre recherche,Geen gegevens. Gelieve uw zoekopdracht te verfijnen.
advanceSearch.labels.noResult,There are 0 results returned based on the search criteria. Please refine your search below.,1,Für die Suchkriterien wurden 0 Ergebnisse gefunden. Bitte verfeinern Sie nachstehend Ihre Suche.,Il y a 0 résultat pour les critères de recherche. Veuillez affiner votre recherche ci-dessous.,Er werden geen resultaten gevonden op basis van uw zoekcriteria. Verfijnt u hieronder alstublieft uw zoekopdracht.
advanceSearch.labels.none,None,2,Keine,Aucun,Geen
advanceSearch.labels.of,of,1,von,de,van
advanceSearch.labels.packages,Packages,2,Pakete,Colis,Pakketten
advanceSearch.labels.parties,Parties,1,Beteiligte,Parties,Partijen
advanceSearch.labels.personPresGoods,Person presenting the goods,0,"Person, die die Waren gestellt",Personne présentant les marchandises,Persoon die de goederen aanbrengt
advanceSearch.labels.presOfgoodsDate,Presentation of goods date range,0,Zeitraum Gestellung der Waren,Fourchette de dates de présentation des marchandises,Datumbereik aanbrenging van de goederen
advanceSearch.labels.procedure,Procedure,1,Verfahren,Procédure,Procedure
advanceSearch.labels.progressBar,Progress bar,0,Fortschrittsanzeige,Barre de progression,Voortgangsbalk
advanceSearch.labels.racStatus,Risk and control status,0,Risiko- und Kontroll-Status,Statut du risque et contrôle,Risico- en controlestatus
advanceSearch.labels.refNum,Reference number,0,Referenznummer,Numéro de référence,Referentienummer
advanceSearch.labels.regDateRange,Acceptance date range,0,Zeitraum Annahme,Plage de date acceptée,Datum bereik aanvaarding
advanceSearch.labels.releaseDateRange,Release date,3,Zeitraum Überlassung,Date de libération,Datum van vrijgave
advanceSearch.labels.representative,Representative,0,Vertreter,Représentant,Vertegenwoordiger
advanceSearch.labels.search,Search,11,Suche,Recherche,Zoeken
advanceSearch.labels.searchPlaceholderConsignmentItem,"Commodity, Description of Goods",1,"Ware, Warenbeschreibung","Produit, Description des marchandises","Product, Omschrijving van de goederen"
advanceSearch.labels.searchPlaceholderHouseConsignment,"Container Number, Consignee, Consignor",1,"Containernummer, Empfänger, Versender","Numéro de conteneur, Destinataire, Expéditeur","Containernummer, Geadresseerde, Afzender"
advanceSearch.labels.searchResult,Search results,4,Suchergebnisse,Résultats des recherches,Zoekresultaten
advanceSearch.labels.selectAllRow,Select all row,0,Alle Zeilen auswählen,Veuillez sélectionner toutes les lignes,Alle rijen selecteren
advanceSearch.labels.selectRow,Select a row,0,Eine Zeile auswählen,Veuillez sélectionner une ligne,Rij selecteren
advanceSearch.labels.subDateRange,Submission date,3,Datum der Einreichung,Date de soumission,Datum van indiening
advanceSearch.labels.supervCusOffice,Supervising customs office,0,Überwachungszollstelle,Bureau de douane de contrôle,Controlekantoor
advanceSearch.labels.tirHolder,TIR holder,0,TIR holder,TIR holder,TIR holder
advanceSearch.labels.totalPackages,Total Packages,2,Pakete gesamt,Nombre total de paquets,Totaal aantal pakketten
advanceSearch.labels.transDoc,Transport document,0,Beförderungsdokument,Document de transport,Vervoersdocument
advanceSearch.labels.transitOperation,Transit Operation,1,Versandvorgang,Opération de transit,Douanevervoer
advanceSearch.labels.typeOfPackages,Type of packages,4,Pakettyp,Type de paquets,Type pakketten
advanceSearch.labels.unLocode,UN/LOCODE,3,UN/LOCODE,LOCODE/ONU,UN/LOCODE
advanceSearch.labels.unknown,Unknown MRN,0,Unknown MRN,Unknown MRN,Unknown MRN
advanceSearch.labels.updated,Updated,2,Aktualisiert,Mis à jour,Bijgewerkt
advanceSearch.labels.warehouse,Warehouse,0,Lager,Entrepôt,Entrepot
advanceSearch.labels.warehouseIdentifier,Warehouse identifier,0,Kennung des Lagers,Identifiant de l'entrepôt,Identificator van het entrepot
advanceSearch.procedure.NORMAL_WITHOUT_APPROVED_PLACE,Normal without approved place,0,Normal ohne zugelassenen Ort,Normal sans lieu approuvé,Normaal zonder goedgekeurde plaats
advanceSearch.procedure.NORMAL_WITH_APPROVED_PLACE,Normal with approved place,0,Normal mit zugelassenem Ort,Normal avec un lieu approuvé,Normaal met goedgekeurde plaats
advanceSearch.procedure.SIMPLIFIED,Simplified,0,Vereinfacht,Simplifié,Vereenvoudigd
advanceSearch.resultColumn.action,Action,1,Aktion,Action,Actie
advanceSearch.resultColumn.countryOfDest,Country of destination,2,Bestimmungsland,Pays de destination,Land van bestemming
advanceSearch.resultColumn.customsOfficeOfDeparture,Customs office of departure,2,Abgangszollstelle,Bureau de douane de départ,Douanekantoor van vertrek
advanceSearch.resultColumn.customsOfficeOfDestinationDeclared,Declared customs office of destination,4,Angegebene Bestimmungszollstelle,Bureau de douane de destination déclaré,Aangegeven douanekantoor van bestemming
advanceSearch.resultColumn.customsOfficeOfIncident,Customs Office of Incident registration,2,Zollamt für Vorfallregistrierung,Bureau des douanes d'enregistrement des incidents,Douanekantoor voor incidentregistratie
advanceSearch.resultColumn.declarant,Declarant,0,Anmelder,Declarant,Declarant
advanceSearch.resultColumn.declarationAcceptanceDate,Acceptance date and time,0,Datum und Uhrzeit der Annahme,Date et heure d'acceptation,Datum en tijd aanvaarding
advanceSearch.resultColumn.declarationType,Declaration type,2,Art der Anmeldung,Type de déclaration,Type aangifte
advanceSearch.resultColumn.hotp,Holder of transit procedure,4,Inhaber des Versandverfahrens,Titulaire du régime du transit,Houder van de regeling douanevervoer
advanceSearch.resultColumn.incidentNotificationDate,Incident notification date,2,Datum der Vorfallbenachrichtigung,Date de notification de l'incident,Datum melding incident
advanceSearch.resultColumn.linkedDeclaration,Linked Declaration,0,Verknüpfte Anmeldung,Déclaration liée,Gekoppelde aangifte
advanceSearch.resultColumn.lrn,LRN,0,LRN,LRN,LRN
advanceSearch.resultColumn.mrn,MRN,6,MRN,MRN,MRN
advanceSearch.resultColumn.mrnAndCrn,MRN/CRN,2,MRN/CRN,MRN/CRN,MRN/CRN
advanceSearch.resultColumn.mrnAndLrn,MRN/LRN,0,MRN/LRN,MRN/LRN,MRN/LRN
advanceSearch.resultColumn.regDate,Registration date and time,0,Datum und Uhrzeit der Registrierung,Date et heure de l'enregistrement,Datum en tijdstip van registratie
advanceSearch.resultColumn.releaseDate,Release date,2,Veröffentlichungsdatum,Date de sortie,Releasedatum
advanceSearch.resultColumn.representative,Representative,0,Vertreter,Représentant,Vertegenwoordiger
advanceSearch.resultColumn.status,Status,3,Status,Statut,Status
advanceSearch.resultColumn.submissionDate,Submission date and time,2,Datum und Uhrzeit der Einreichung,Date et heure de soumission,Datum en tijd van indiening
advanceSearch.resultColumn.traderAtDestination,Trader at destination,2,Trader at destination,Trader at destination,Trader at destination
advanceSearch.status.Accepted,Accepted,0,Angenommen,Accepté,Aanvaard
advanceSearch.status.Invalidated,Invalidated,0,Für ungültig erklärt,Invalidé,Geïnvalideerd
advanceSearch.status.IrregularityUnderInvestigation,Irregularity under investigation,0,Unregelmäßigkeit wird geprüft,Irrégularité sous investigation,Onregelmatigheid in onderzoek
advanceSearch.status.PreLodged,Pre-lodged,0,Vorab eingereicht,Pre-lodged,Vooraf ingediend
advanceSearch.status.UnderControl,Under control,0,Wird gerade kontrolliert,Sous contrôle,Onder controle
advanceSearch.type.Combined,Combined,0,Kombiniert,Combiné,Gecombineerd
advanceSearch.type.PreLodged,Pre-lodged,0,Vorab eingereicht,Pre-lodged,Vooraf ingediend
alternativeProof.dialog.actualOfficeOfDestination,Actual office of destination,2,Actual office of destination,Actual office of destination,Actual office of destination
alternativeProof.dialog.cancel,Cancel,1,Cancel,Cancel,Cancel
alternativeProof.dialog.heading,Alternative Proof,1,Alternative Proof,Alternative Proof,Alternative Proof
alternativeProof.dialog.proofDate,Proof date,2,Proof date,Proof date,Proof date
alternativeProof.dialog.submit,Submit,1,Submit,Submit,Submit
alternativeProof.dialog.text,Text,2,Text,Text,Text
app.address,Address,1,Adresse,Adresse,Adres
app.city,City,1,Stadt,Ville,Stad
app.code,Code,3,Code,Code,Code
app.containerIdentificationNumber,Container Identification Number,1,Container-Identifikationsnummer,Numéro d'identification du conteneur,Containeridentificatienummer
app.containerIndicator,Container Indicator,1,Containeranzeige,Indicateur de conteneur,Containerindicator
app.country,Country,2,Land,Pays,Land
app.date,Date,1,Datum,Date,Datum
app.endorsement,Endorsement,1,Billigung,Endorcement,Aanbeveling
app.gnss,GNSS,1,GNSS,GNSS,GNSS
app.identificationNumber,Identification Number,1,Identifikationsnummer,Numéro d'identification,Identificatienummer
app.incident,Incident,2,Vorfall,Incident,Incident
app.incidents,incidents,1,Vorfälle,incidents,incidenten
app.location,Location,1,Standort,Localisation,Locatie
app.nationality,Nationality,1,Nationalität,Nationalité,Nationaliteit
app.numberOfSeals,Number of seals,1,Anzahl der Siegel,Nombre de scellés,Aantal zegels
app.place,Place,1,Ort,Lieu,Plaats
app.postcode,Postcode,1,Postleitzahl,Code postal,Postcode
app.sealIdentifier,Seal identifier,1,Siegelkennung,Seal identifier,Identificatie van het zegel
app.sequenceNumber,Sequence number,6,Ordnungsnummer,Numéro de séquence,Volgnummer
app.streetAndNumber,Street and number,1,Straße und Hausnummer,Rue et numéro,Straat en nummer
app.transhipment,Transhipment,1,Umschlag,Transbordement,Overslag
app.transportEquipment,Transport Equipment,1,Transportausrüstung,Équipement de transport,Transportuitrusting
app.transportEquipments,Transport Equipments,0,Transportausrüstungen,Équipement(s) de transport,transportmiddelen
app.transportMeans,Transport Means,1,Transportmittel,Moyens de transport,Transportmiddelen
app.typeOfIdentification,Type of identification,1,Art der Identifizierung,Type d'identification,Type identificatie
app.unlocode,UN LOCODE,1,UN LOCODE,UN LOCODE,UN LOCODE
application.admin,Admin,0,Admin,Admin,Admin
application.dep,Departure,0,Departure,Departure,Departure
application.des,Destination,0,Destination,Destination,Destination
application.documentation,Documentation,0,Dokumentation,Documentation,Documentatie
application.exi,Competent authority,0,Competent authority,Competent authority,Competent authority
application.inc,Incident,0,Vorfall,Incident,Incident
application.tra,Transit,0,Transit,Transit,Transit
bindingItinerary.action,Add Binding Itinerary,1,Verbindliche Beförderungsstrecke hinzufügen,Ajouter un itinéraire obligatoire,Voeg verplichte reisweg toe
bindingItinerary.dialog.buttons.cancel,Cancel,1,Abbrechen,Annuler,Annuleer
bindingItinerary.dialog.buttons.save,Save,1,Speichern,Sauvegarder,Opslaan
bindingItinerary.dialog.description,"Please introduce the binding itinerary in a chronological order, including all countries of routing of consignment starting from the country of departure until the country of destination.",1,"Bitte geben Sie die verbindliche Reiseroute in chronologischer Reihenfolge an, einschließlich aller Länder, durch die die Sendung geleitet wird, beginnend mit dem Versandland bis zum Bestimmungsland","Veuillez présenter l'itinéraire de liaison dans un ordre chronologique, en incluant tous les pays de passage de l'envoi, du pays d'expédition au pays de destination.","Gelieve de verplichte reisweg in chronologische volgorde in te geven, met inbegrip van alle landen startende van het land van verzending tot land van bestemming."
bindingItinerary.dialog.labels.countryOfDestination,Country of destination,0,Bestimmungsland,Pays de destination,Land van bestemming
bindingItinerary.dialog.labels.countryOfDispatch,Country of departure,0,Versendungsland,Pays d'expédition,Land van verzending
bindingItinerary.dialog.labels.countryOfRoutingOfConsignment,Country of routing of consignment,1,Beförderungsroute der Sendung,Pays de l'itinéraire de l’envoi,Land dat deel uitmaakt van het traject
bindingItinerary.dialog.labels.countryOfTransit,Country of transit,0,Durchgangsland,Pays de passage,Land van doorgang
bindingItinerary.dialog.title,Add Binding Itinerary,1,Verbindliche Beförderungsstrecke hinzufügen,Ajouter un itinéraire obligatoire,Voeg verplichte reisweg toe
buttons.back,Back,1,Zurück,Retour,Terug
buttons.cancel,Cancel,27,Abbrechen,Annuler,Annuleer
buttons.cancelWithoutSaving,cancel without saving,1,"abbrechen, ohne zu speichern",annuler sans sauver,annuleer zonder op te slaan
buttons.confirm,Confirm,7,Bestätigen,Confirmer,Bevestigen
buttons.crossingFrontier,Register NCF,2,Durchgang gewähren,Enregistrer au NCF,Registreer doorgang
buttons.dismiss,DISMISS,0,ZURÜCKWEISEN,REJETER,AFWIJZEN
buttons.houseConsignment,HOUSE CONSIGNMENT,1,EINZELSENDUNG,HOUSE CONSIGNMENT,Huiszending
buttons.next,Next,2,Weiter ,Suivant,Volgende
buttons.ok,ok,9,ok,ok,ok
buttons.passageNotConfirmed,Passage not confirmed,2,Passage not confirmed,Passage not confirmed,Passage not confirmed
buttons.refuseFrontierCrossing,Refuse frontier-crossing,4,Durchgang nicht gewähren,Refuse frontier crossing,Refuse frontier crossing
buttons.releaseMovement,RELEASE MOVEMENT,1,EINE SENDUNG ÜBERLASSEN,RELEASE MOVEMENT,Vrijgeven 
buttons.request,Request,2,Request,Request,Request
buttons.respond,Respond,1,Antworten,Réponse,Antwoord
